name,accession,date,date_lower,date_upper,geo_location,geo_country,clade
NIC2,SRR3268713,1912,1912,1912,NA,USA,Nichols
DAL-1,NC_016844.1,1991,1991,1991,Dallas,USA,Nichols
Nichols,NC_021490.2,1912,1912,1912,NA,USA,Nichols
BAL73,SRR3268726,1973,1973,1973,Baltimore,USA,Nichols
Chicago,NC_017268.1 ,1951,1951,1951,Chicago,USA,Nichols
BAL3,SRR3268715,1973,1973,1973,Baltimore,USA,Nichols
SEA86,SRR3268740,1986,1986,1986,Seattle,USA,Nichols
NE20,SRR3268710,2013,2013,2013,NA,Netherlands,Nichols
SEA81-4,15169_7#74,1981,1981,1981,Seattle,USA,Nichols
AU15,SRR3268722,2013,2013,2013,NA,Austria,SS14
NE14,SRR3268703,2013,2013,2013,NA,Netherlands,SS14
CZ33,SRR3268690,2013,2013,2013,NA,Czech Republic,SS14
NE17,SRR3268707,2013,2013,2013,NA,Netherlands,SS14
AR2,SRR3268682,2013,2013,2013,NA,Argentina,SS14
SW6,SRR3268732,2012,2012,2012,NA,Switzerland,SS14
P3,SRR2996731,2016,2016,2016,NA,China,SS14
PT_SIF1002,NZ_CP016051.1,2011,2011,2011,NA,Portugal,SS14
SS14,NC_021508.1,1977,1977,1977,Atlanta,USA,SS14
MexicoA,NC_018722.1,1953,1953,1953,NA,Mexico,SS14
Fribourg,NC_021179.1 ,1966,1966,1966,NA,Guinea,Yaws
IND1,SRR3268698,1990,1990,1990,NA,Indonesia,Yaws
Gauthier,NC_016843.1 ,1960,1960,1960,NA,Ghana,Yaws
CDC2,NC_016848.1 ,1980,1980,1980,Akorabo,Ghana,Yaws
SamoaD,NC_016842.1 ,1953,1953,1953,NA,Western Samoa,Yaws
GHA1,Ghana-051,1988,1988,1988,NA,Ghana,Yaws
BosniaA,SRR3268694,1950,1950,1950,NA,Bosnia,Bejel
133,PRJEB21276,1730.5,1600,1861,Mexico City,Mexico,Yaws
94A,PRJEB21276,1730.5,1600,1861,Mexico City,Mexico,Unknown
94B,PRJEB21276,1730.5,1600,1861,Mexico City,Mexico,Unknown
PD28,TU41,1727.5,1666,1789,Porvoo,Finland,Unknown
SJ219,TU579,1534.5,1429,1635,Tartu,Estonia,Unknown
CHS119,TU590,1540,1450,1630,Turku,Finland,Yaws
KM14-7,TU391,1562.5,1494,1631,Leiden,Netherlands,Unknown